,0
tp_samples,1816.118811881188
fp_samples,99.95049504950495
fn_samples,94.39603960396039
precision,0.9232152451008827
recall,0.9286260164255143
f1_score,0.9251741679905545
tp_absolute_timing_error_s,0.06186003707478809
tp_relative_timing_error,0.08523220195720284
combined__tp_samples,183428.0
combined__fp_samples,10095.0
combined__fn_samples,9534.0
combined__precision,0.9478356577771118
combined__recall,0.9505913081332076
combined__f1_score,0.9492114829812281
combined__tp_absolute_timing_error_s,0.05774418300368537
combined__tp_relative_timing_error,0.4540558996465539
